iter	Passed	Remaining
608	10817	6945
609	10833	6926
610	10849	6907
611	10865	6888
612	10884	6871
613	10902	6854
614	10919	6835
615	10937	6817
616	10954	6799
617	10971	6781
618	10988	6763
619	11007	6746
620	11023	6727
621	11040	6709
622	11054	6689
623	11070	6670
624	11092	6655
625	11105	6635
626	11123	6617
627	11136	6596
628	11151	6577
629	11167	6558
630	11184	6540
631	11200	6521
632	11217	6503
633	11234	6485
634	11252	6467
635	11276	6453
636	11296	6437
637	11314	6419
638	11331	6401
639	11349	6384
640	11372	6369
641	11391	6352
642	11411	6335
643	11429	6318
644	11445	6299
645	11460	6280
646	11476	6261
647	11492	6242
648	11508	6224
649	11525	6206
650	11541	6187
651	11558	6169
652	11573	6150
653	11589	6131
654	11604	6112
655	11622	6094
656	11641	6077
657	11659	6060
658	11677	6042
659	11701	6027
660	11720	6011
661	11740	5994
662	11758	5976
663	11777	5959
664	11794	5941
665	11815	5925
666	11834	5908
667	11853	5891
668	11869	5872
669	11885	5853
670	11903	5836
671	11918	5817
672	11934	5798
673	11951	5780
674	11967	5762
675	11982	5743
676	11998	5724
677	12015	5706
678	12050	5696
679	12072	5680
680	12091	5664
681	12113	5648
682	12141	5635
683	12177	5625
684	12212	5616
685	12234	5599
686	12251	5581
687	12267	5563
688	12283	5544
689	12298	5525
690	12314	5506
691	12328	5487
692	12345	5468
693	12361	5450
694	12377	5431
695	12392	5412
696	12408	5394
697	12424	5375
698	12439	5356
699	12454	5337
700	12468	5318
701	12485	5299
702	12500	5280
703	12515	5262
704	12531	5243
705	12547	5225
706	12562	5206
707	12579	5188
708	12594	5169
709	12610	5150
710	12625	5131
711	12640	5112
712	12655	5094
713	12670	5075
714	12687	5057
715	12704	5039
716	12719	5020
717	12736	5002
718	12755	4985
719	12774	4967
720	12801	4953
721	12832	4940
722	12849	4922
723	12866	4904
724	12891	4890
725	12916	4874
726	12931	4855
727	12947	4837
728	12962	4818
729	12974	4798
730	12990	4780
731	13005	4761
732	13021	4743
733	13054	4730
734	13084	4717
735	13130	4709
736	13167	4698
737	13207	4688
738	13246	4678
739	13289	4669
740	13322	4656
741	13377	4651
742	13404	4636
743	13427	4620
744	13445	4602
745	13462	4583
746	13482	4566
747	13503	4549
748	13525	4532
749	13544	4514
750	13560	4496
751	13575	4476
752	13593	4459
753	13609	4440
754	13624	4421
755	13640	4402
756	13655	4383
757	13672	4365
758	13691	4347
759	13712	4330
760	13744	4316
761	13764	4299
762	13786	4282
763	13891	4291
764	13942	4282
765	13979	4270
766	13994	4251
767	14009	4232
768	14024	4212
769	14042	4194
770	14060	4176
771	14078	4157
772	14096	4139
773	14114	4121
774	14132	4102
775	14150	4084
776	14167	4066
777	14187	4048
778	14205	4030
779	14222	4011
780	14237	3992
781	14252	3973
782	14267	3954
783	14284	3935
784	14300	3916
785	14315	3897
786	14332	3879
787	14347	3860
788	14363	3841
789	14378	3822
790	14398	3804
791	14414	3785
792	14430	3766
793	14446	3748
794	14462	3729
795	14478	3710
796	14495	3692
797	14514	3674
798	14532	3655
799	14549	3637
800	14567	3619
801	14586	3601
802	14606	3583
803	14622	3564
804	14643	3547
805	14660	3528
806	14676	3510
807	14692	3491
808	14709	3472
809	14725	3454
810	14741	3435
811	14754	3415
812	14769	3397
813	14784	3378
814	14799	3359
815	14816	3341
816	14832	3322
817	14847	3303
818	14863	3284
819	14877	3265
820	14892	3247
821	14909	3228
822	14927	3210
823	14944	3192
824	14961	3173
825	14979	3155
826	15004	3138
827	15025	3121
828	15045	3103
829	15064	3085
830	15081	3067
831	15098	3048
832	15115	3030
833	15132	3011
834	15147	2993
835	15162	2974
836	15177	2955
837	15192	2937
838	15210	2918
839	15229	2900
840	15245	2882
841	15262	2864
842	15285	2846
843	15305	2829
844	15326	2811
845	15356	2795
846	15379	2778
847	15398	2760
848	15424	2743
849	15467	2729
850	15487	2711
851	15505	2693
852	15523	2675
853	15541	2657
854	15562	2639
855	15579	2620
856	15597	2602
857	15616	2584
858	15631	2565
859	15647	2547
860	15663	2528
861	15679	2510
862	15694	2491
863	15709	2472
864	15722	2453
865	15737	2435
866	15754	2416
867	15771	2398
868	15789	2380
869	15807	2361
870	15824	2343
871	15844	2325
872	15869	2308
873	15888	2290
874	15903	2271
875	15918	2253
876	15934	2234
877	15949	2216
878	15966	2197
879	15984	2179
880	16001	2161
